DATE / TIME (PST),OUTFLOW CFS,
11/06/2018,0,
11/07/2018,0,
11/08/2018,0,
11/09/2018,0,
11/10/2018,0,
11/11/2018,0,
11/12/2018,0,
11/13/2018,0,
11/14/2018,0,
11/15/2018,0,
11/16/2018,0,
11/17/2018,0,
11/18/2018,0,
11/19/2018,0,
11/20/2018,0,
11/21/2018,0,
11/22/2018,0,
11/23/2018,0,
11/24/2018,0,
11/25/2018,0,
11/26/2018,0,
11/27/2018,0,
11/28/2018,0,
11/29/2018,0,
11/30/2018,0,
12/01/2018,0,
12/02/2018,0,
12/03/2018,0,
12/04/2018,0,
12/05/2018,0,
12/06/2018,0,
12/07/2018,0,
12/08/2018,0,
12/09/2018,0,
12/10/2018,0,
12/11/2018,0,
12/12/2018,0,
12/13/2018,0,
12/14/2018,0,
12/15/2018,0,
12/16/2018,0,
12/17/2018,0,
12/18/2018,0,
12/19/2018,0,
12/20/2018,0,
12/21/2018,0,
12/22/2018,0,
12/23/2018,0,
12/24/2018,0,
12/25/2018,0,
12/26/2018,0,
12/27/2018,0,
12/28/2018,0,
12/29/2018,0,
12/30/2018,0,
12/31/2018,--,
01/01/2019,0,
01/02/2019,0,
01/03/2019,0,
01/04/2019,0,
01/05/2019,0,
01/06/2019,0,
01/07/2019,0,
01/08/2019,0,
01/09/2019,0,
01/10/2019,0,
01/11/2019,0,
01/12/2019,0,
01/13/2019,0,
01/14/2019,0,
01/15/2019,0,
01/16/2019,0,
01/17/2019,1,
01/18/2019,0,
01/19/2019,0,
01/20/2019,0,
01/21/2019,0,
01/22/2019,0,
01/23/2019,0,
01/24/2019,0,
01/25/2019,0,
01/26/2019,0,
01/27/2019,0,
01/28/2019,0,
01/29/2019,0,
01/30/2019,0,
01/31/2019,0,
02/01/2019,0,
02/02/2019,0,
02/03/2019,0,
02/04/2019,0,
02/05/2019,200,
02/06/2019,500,
02/07/2019,501,
02/08/2019,500,
02/09/2019,500,
02/10/2019,502,
02/11/2019,504,
02/12/2019,766,
02/13/2019,"1,001",
02/14/2019,"1,001",
02/15/2019,"1,014",
02/16/2019,"1,013",
02/17/2019,"1,002",
02/18/2019,"1,003",
02/19/2019,998,
02/20/2019,994,
02/21/2019,996,
02/22/2019,991,
02/23/2019,993,
02/24/2019,986,
02/25/2019,873,
02/26/2019,780,
02/27/2019,782,
02/28/2019,794,
03/01/2019,797,
03/02/2019,797,
03/03/2019,800,
03/04/2019,902,
03/05/2019,985,
03/06/2019,997,
03/07/2019,"1,003",
03/08/2019,734,
03/09/2019,498,
03/10/2019,500,
03/11/2019,500,
03/12/2019,500,
03/13/2019,341,
03/14/2019,199,
03/15/2019,200,
03/16/2019,200,
03/17/2019,199,
03/18/2019,198,
03/19/2019,90,
03/20/2019,3,
03/21/2019,4,
03/22/2019,3,
03/23/2019,6,
03/24/2019,8,
03/25/2019,5,
03/26/2019,2,
03/27/2019,3,
03/28/2019,4,
03/29/2019,4,
03/30/2019,5,
03/31/2019,6,
04/01/2019,7,
04/02/2019,4,
04/03/2019,1,
04/04/2019,3,
04/05/2019,4,
04/06/2019,5,
04/07/2019,6,
04/08/2019,4,
04/09/2019,0,
04/10/2019,0,
04/11/2019,0,
04/12/2019,0,
04/13/2019,0,
04/14/2019,0,
04/15/2019,160,
04/16/2019,194,
04/17/2019,171,
04/18/2019,169,
04/19/2019,171,
04/20/2019,171,
04/21/2019,171,
04/22/2019,171,
04/23/2019,170,
04/24/2019,171,
04/25/2019,57,
04/26/2019,1,
04/27/2019,124,
04/28/2019,187,
04/29/2019,137,
04/30/2019,113,
05/01/2019,114,
05/02/2019,115,
05/03/2019,115,
05/04/2019,116,
05/05/2019,115,
05/06/2019,115,
05/07/2019,115,
05/08/2019,115,
05/09/2019,115,
05/10/2019,115,
05/11/2019,115,
05/12/2019,115,
05/13/2019,115,
05/14/2019,115,
05/15/2019,115,
05/16/2019,116,
05/17/2019,105,
05/18/2019,100,
05/19/2019,100,
05/20/2019,100,
05/21/2019,100,
05/22/2019,100,
05/23/2019,100,
05/24/2019,100,
05/25/2019,100,
05/26/2019,101,
05/27/2019,100,
05/28/2019,101,
05/29/2019,100,
05/30/2019,100,
05/31/2019,101,
06/01/2019,101,
06/02/2019,101,
06/03/2019,101,
06/04/2019,101,
06/05/2019,101,
06/06/2019,101,
06/07/2019,101,
06/08/2019,101,
06/09/2019,101,
06/10/2019,101,
06/11/2019,101,
06/12/2019,128,
06/13/2019,142,
06/14/2019,182,
06/15/2019,195,
06/16/2019,189,
06/17/2019,189,
06/18/2019,189,
06/19/2019,189,
06/20/2019,142,
06/21/2019,120,
06/22/2019,120,
06/23/2019,120,
06/24/2019,120,
06/25/2019,130,
06/26/2019,138,
06/27/2019,139,
06/28/2019,139,
06/29/2019,126,
06/30/2019,120,
07/01/2019,120,
07/02/2019,120,
07/03/2019,120,
07/04/2019,127,
07/05/2019,130,
07/06/2019,130,
07/07/2019,130,
07/08/2019,158,
07/09/2019,189,
07/10/2019,219,
07/11/2019,219,
07/12/2019,219,
07/13/2019,221,
07/14/2019,220,
07/15/2019,219,
07/16/2019,219,
07/17/2019,219,
07/18/2019,219,
07/19/2019,219,
07/20/2019,219,
07/21/2019,219,
07/22/2019,221,
07/23/2019,221,
07/24/2019,221,
07/25/2019,221,
07/26/2019,220,
07/27/2019,217,
07/28/2019,217,
07/29/2019,217,
07/30/2019,219,
07/31/2019,217,
08/01/2019,219,
08/02/2019,219,
08/03/2019,219,
08/04/2019,218,
08/05/2019,218,
08/06/2019,217,
08/07/2019,217,
08/08/2019,217,
08/09/2019,219,
08/10/2019,218,
08/11/2019,220,
08/12/2019,221,
08/13/2019,221,
08/14/2019,220,
08/15/2019,219,
08/16/2019,219,
08/17/2019,219,
08/18/2019,219,
08/19/2019,218,
08/20/2019,204,
08/21/2019,198,
08/22/2019,198,
08/23/2019,198,
08/24/2019,197,
08/25/2019,196,
08/26/2019,196,
08/27/2019,196,
08/28/2019,198,
08/29/2019,194,
08/30/2019,198,
08/31/2019,198,
09/01/2019,198,
09/02/2019,199,
09/03/2019,199,
09/04/2019,196,
09/05/2019,196,
09/06/2019,197,
09/07/2019,200,
09/08/2019,201,
09/09/2019,200,
09/10/2019,183,
09/11/2019,170,
09/12/2019,169,
09/13/2019,169,
09/14/2019,169,
09/15/2019,169,
09/16/2019,169,
09/17/2019,168,
09/18/2019,168,
09/19/2019,168,
09/20/2019,169,
09/21/2019,169,
09/22/2019,169,
09/23/2019,169,
09/24/2019,170,
09/25/2019,162,
09/26/2019,384,
09/27/2019,151,
09/28/2019,150,
09/29/2019,150,
09/30/2019,150,
10/01/2019,157,
10/02/2019,170,
10/03/2019,171,
10/04/2019,170,
10/05/2019,170,
10/06/2019,169,
10/07/2019,169,
10/08/2019,168,
10/09/2019,169,
10/10/2019,169,
10/11/2019,168,
10/12/2019,167,
10/13/2019,167,
10/14/2019,169,
10/15/2019,108,
10/16/2019,64,
10/17/2019,169,
10/18/2019,169,
10/19/2019,169,
10/20/2019,168,
10/21/2019,172,
10/22/2019,182,
10/23/2019,182,
10/24/2019,180,
10/25/2019,180,
10/26/2019,179,
10/27/2019,179,
10/28/2019,169,
10/29/2019,161,
10/30/2019,161,
10/31/2019,159,
11/01/2019,159,
11/02/2019,159,
11/03/2019,106,
11/04/2019,6,
11/05/2019,1,
11/06/2019,1,
11/07/2019,1,
11/08/2019,1,
11/09/2019,1,
11/10/2019,2,
11/11/2019,2,
11/12/2019,2,
11/13/2019,1,
11/14/2019,0,
11/15/2019,0,
11/16/2019,0,
11/17/2019,0,
11/18/2019,0,
11/19/2019,0,
11/20/2019,0,
11/21/2019,0,
11/22/2019,0,
11/23/2019,0,
11/24/2019,0,
11/25/2019,0,
11/26/2019,0,
11/27/2019,0,
11/28/2019,0,
11/29/2019,0,
11/30/2019,0,
12/01/2019,0,
12/02/2019,0,
12/03/2019,0,
12/04/2019,0,
12/05/2019,0,
12/06/2019,0,
12/07/2019,0,
12/08/2019,0,
12/09/2019,0,
12/10/2019,0,
12/11/2019,0,
12/12/2019,0,
12/13/2019,0,
12/14/2019,0,
12/15/2019,0,
12/16/2019,0,
12/17/2019,0,
12/18/2019,0,
12/19/2019,0,
12/20/2019,0,
12/21/2019,0,
12/22/2019,0,
12/23/2019,0,
12/24/2019,0,
12/25/2019,0,
12/26/2019,0,
12/27/2019,0,
12/28/2019,0,
12/29/2019,0,
12/30/2019,0,
12/31/2019,--,
01/01/2020,0,
01/02/2020,0,
01/03/2020,0,
01/04/2020,0,
01/05/2020,0,
01/06/2020,0,
01/07/2020,0,
01/08/2020,0,
01/09/2020,0,
01/10/2020,0,
01/11/2020,0,
01/12/2020,0,
01/13/2020,0,
01/14/2020,0,
01/15/2020,115,
01/16/2020,175,
01/17/2020,75,
01/18/2020,27,
01/19/2020,26,
01/20/2020,26,
01/21/2020,26,
01/22/2020,26,
01/23/2020,26,
01/24/2020,26,
01/25/2020,26,
01/26/2020,26,
01/27/2020,26,
01/28/2020,26,
01/29/2020,26,
01/30/2020,26,
01/31/2020,26,
02/01/2020,26,
02/02/2020,26,
02/03/2020,11,
02/04/2020,2,
02/05/2020,1,
02/06/2020,0,
02/07/2020,0,
02/08/2020,0,
02/09/2020,0,
02/10/2020,0,
02/11/2020,0,
02/12/2020,0,
02/13/2020,0,
02/14/2020,0,
02/15/2020,1,
02/16/2020,1,
02/17/2020,40,
02/18/2020,24,
02/19/2020,1,
02/20/2020,1,
02/21/2020,1,
02/22/2020,1,
02/23/2020,2,
02/24/2020,1,
02/25/2020,0,
02/26/2020,0,
02/27/2020,0,
02/28/2020,0,
02/29/2020,0,
03/01/2020,0,
03/02/2020,0,
03/03/2020,0,
03/04/2020,0,
03/05/2020,0,
03/06/2020,0,
03/07/2020,0,
03/08/2020,0,
03/09/2020,0,
03/10/2020,0,
03/11/2020,0,
03/12/2020,0,
03/13/2020,0,
03/14/2020,0,
03/15/2020,0,
03/16/2020,0,
03/17/2020,0,
03/18/2020,0,
03/19/2020,0,
03/20/2020,0,
03/21/2020,0,
03/22/2020,1,
03/23/2020,1,
03/24/2020,2,
03/25/2020,1,
03/26/2020,1,
03/27/2020,1,
03/28/2020,0,
03/29/2020,1,
03/30/2020,75,
03/31/2020,131,
04/01/2020,130,
04/02/2020,129,
04/03/2020,46,
04/04/2020,1,
04/05/2020,0,
04/06/2020,1,
04/07/2020,0,
04/08/2020,0,
04/09/2020,0,
04/10/2020,0,
04/11/2020,0,
04/12/2020,0,
04/13/2020,0,
04/14/2020,0,
04/15/2020,0,
04/16/2020,0,
04/17/2020,0,
04/18/2020,0,
04/19/2020,--,
04/20/2020,--,
04/21/2020,--,
04/22/2020,--,
04/23/2020,--,
04/24/2020,--,
04/25/2020,128,
04/26/2020,--,
04/27/2020,--,
04/28/2020,--,
04/29/2020,--,
04/30/2020,26,
05/01/2020,26,
05/02/2020,--,
05/03/2020,--,
05/04/2020,11,
05/05/2020,1,
05/06/2020,1,
05/07/2020,1,
05/08/2020,0,
05/09/2020,0,
05/10/2020,0,
05/11/2020,54,
05/12/2020,91,
05/13/2020,90,
05/14/2020,324,
05/15/2020,90,
05/16/2020,76,
05/17/2020,108,
05/18/2020,156,
05/19/2020,154,
05/20/2020,154,
05/21/2020,157,
05/22/2020,170,
05/23/2020,182,
05/24/2020,181,
05/25/2020,153,
05/26/2020,150,
05/27/2020,156,
05/28/2020,150,
05/29/2020,140,
05/30/2020,132,
05/31/2020,121,
06/01/2020,131,
06/02/2020,143,
06/03/2020,145,
06/04/2020,144,
06/05/2020,142,
06/06/2020,140,
06/07/2020,131,
06/08/2020,130,
06/09/2020,137,
06/10/2020,138,
06/11/2020,138,
06/12/2020,138,
06/13/2020,147,
06/14/2020,144,
06/15/2020,145,
06/16/2020,155,
06/17/2020,161,
06/18/2020,169,
06/19/2020,167,
06/20/2020,152,
06/21/2020,142,
06/22/2020,155,
06/23/2020,169,
06/24/2020,191,
06/25/2020,195,
06/26/2020,182,
06/27/2020,158,
06/28/2020,145,
06/29/2020,145,
06/30/2020,140,
07/01/2020,134,
07/02/2020,138,
07/03/2020,139,
07/04/2020,133,
07/05/2020,132,
07/06/2020,137,
07/07/2020,140,
07/08/2020,150,
07/09/2020,164,
07/10/2020,168,
07/11/2020,164,
07/12/2020,154,
07/13/2020,163,
07/14/2020,176,
07/15/2020,187,
07/16/2020,197,
07/17/2020,185,
07/18/2020,164,
07/19/2020,165,
07/20/2020,175,
07/21/2020,172,
07/22/2020,165,
07/23/2020,173,
07/24/2020,167,
07/25/2020,155,
07/26/2020,150,
07/27/2020,154,
07/28/2020,161,
07/29/2020,170,
07/30/2020,169,
07/31/2020,163,
08/01/2020,157,
08/02/2020,148,
08/03/2020,150,
08/04/2020,142,
08/05/2020,140,
08/06/2020,147,
08/07/2020,151,
08/08/2020,146,
08/09/2020,139,
08/10/2020,50,
08/11/2020,1,
08/12/2020,0,
08/13/2020,0,
08/14/2020,1,
08/15/2020,1,
08/16/2020,1,
08/17/2020,1,
08/18/2020,46,
08/19/2020,0,
08/20/2020,0,
08/21/2020,0,
08/22/2020,0,
08/23/2020,0,
08/24/2020,0,
08/25/2020,0,
08/26/2020,0,
08/27/2020,0,
08/28/2020,0,
08/29/2020,0,
08/30/2020,0,
08/31/2020,0,
09/01/2020,0,
09/02/2020,0,
09/03/2020,0,
09/04/2020,0,
09/05/2020,0,
09/06/2020,0,
09/07/2020,0,
09/08/2020,0,
09/09/2020,0,
09/10/2020,0,
09/11/2020,0,
09/12/2020,0,
09/13/2020,0,
09/14/2020,0,
09/15/2020,0,
09/16/2020,0,
09/17/2020,0,
09/18/2020,0,
09/19/2020,0,
09/20/2020,0,
09/21/2020,0,
09/22/2020,0,
09/23/2020,0,
09/24/2020,0,
09/25/2020,0,
09/26/2020,0,
09/27/2020,0,
09/28/2020,0,
09/29/2020,0,
09/30/2020,0,
10/01/2020,0,
10/02/2020,0,
10/03/2020,0,
10/04/2020,0,
10/05/2020,0,
10/06/2020,0,
10/07/2020,0,
10/08/2020,0,
10/09/2020,0,
10/10/2020,0,
10/11/2020,0,
10/12/2020,0,
10/13/2020,0,
10/14/2020,0,
10/15/2020,0,
10/16/2020,0,
10/17/2020,0,
10/18/2020,0,
10/19/2020,0,
10/20/2020,0,
10/21/2020,0,
10/22/2020,0,
10/23/2020,0,
10/24/2020,0,
10/25/2020,0,
10/26/2020,0,
10/27/2020,0,
10/28/2020,0,
10/29/2020,0,
10/30/2020,0,
10/31/2020,0,
11/01/2020,0,
11/02/2020,0,
11/03/2020,0,
11/04/2020,0,
11/05/2020,0,
11/06/2020,0,
11/07/2020,0,
11/08/2020,0,
11/09/2020,0,
11/10/2020,0,
11/11/2020,0,
11/12/2020,0,
11/13/2020,0,
11/14/2020,0,
11/15/2020,0,
11/16/2020,0,
11/17/2020,0,
11/18/2020,0,
11/19/2020,0,
11/20/2020,0,
11/21/2020,0,
11/22/2020,0,
11/23/2020,0,
11/24/2020,0,
11/25/2020,0,
11/26/2020,0,
11/27/2020,0,
11/28/2020,0,
11/29/2020,0,
11/30/2020,0,
12/01/2020,0,
12/02/2020,0,
12/03/2020,936,
12/04/2020,--,
