Agency,SiteID,Date,Discharge cfs,DataQuality,Discharrge m3/s
USGS,11242000,11/1/10,31,A,0.877827
USGS,11242000,11/2/10,31,A,0.877827
USGS,11242000,11/3/10,32,A,0.906144
USGS,11242000,11/4/10,31,A,0.877827
USGS,11242000,11/5/10,31,A,0.877827
USGS,11242000,11/6/10,31,A,0.877827
USGS,11242000,11/7/10,31,A,0.877827
USGS,11242000,11/8/10,31,A,0.877827
USGS,11242000,11/9/10,32,A,0.906144
USGS,11242000,11/10/10,32,A,0.906144
USGS,11242000,11/11/10,32,A,0.906144
USGS,11242000,11/12/10,32,A,0.906144
USGS,11242000,11/13/10,32,A,0.906144
USGS,11242000,11/14/10,32,A,0.906144
USGS,11242000,11/15/10,32,A,0.906144
USGS,11242000,11/16/10,32,A,0.906144
USGS,11242000,11/17/10,32,A,0.906144
USGS,11242000,11/18/10,32,A,0.906144
USGS,11242000,11/19/10,32,A,0.906144
USGS,11242000,11/20/10,32,A,0.906144
USGS,11242000,11/21/10,32,A,0.906144
USGS,11242000,11/22/10,32,A,0.906144
USGS,11242000,11/23/10,32,A,0.906144
USGS,11242000,11/24/10,32,A,0.906144
USGS,11242000,11/25/10,32,A,0.906144
USGS,11242000,11/26/10,32,A,0.906144
USGS,11242000,11/27/10,32,A,0.906144
USGS,11242000,11/28/10,32,A,0.906144
USGS,11242000,11/29/10,32,A,0.906144
USGS,11242000,11/30/10,32,A,0.906144
USGS,11242000,12/1/10,32,A,0.906144
USGS,11242000,12/2/10,32,A,0.906144
USGS,11242000,12/3/10,32,A,0.906144
USGS,11242000,12/4/10,33,A,0.934461
USGS,11242000,12/5/10,33,A,0.934461
USGS,11242000,12/6/10,33,A,0.934461
USGS,11242000,12/7/10,34,A,0.962778
USGS,11242000,12/8/10,34,A,0.962778
USGS,11242000,12/9/10,34,A,0.962778
USGS,11242000,12/10/10,34,A,0.962778
USGS,11242000,12/11/10,33,A,0.934461
USGS,11242000,12/12/10,33,A,0.934461
USGS,11242000,12/13/10,33,A,0.934461
USGS,11242000,12/14/10,33,A,0.934461
USGS,11242000,12/15/10,33,A,0.934461
USGS,11242000,12/16/10,33,A,0.934461
USGS,11242000,12/17/10,33,A,0.934461
USGS,11242000,12/18/10,34,A,0.962778
USGS,11242000,12/19/10,2910,A,82.40247
USGS,11242000,12/20/10,389,A,11.015313
USGS,11242000,12/21/10,33,A,0.934461
USGS,11242000,12/22/10,33,A,0.934461
USGS,11242000,12/23/10,33,A,0.934461
USGS,11242000,12/24/10,33,A,0.934461
USGS,11242000,12/25/10,33,A,0.934461
USGS,11242000,12/26/10,33,A,0.934461
USGS,11242000,12/27/10,33,A,0.934461
USGS,11242000,12/28/10,33,A,0.934461
USGS,11242000,12/29/10,34,A,0.962778
USGS,11242000,12/30/10,33,A,0.934461
USGS,11242000,12/31/10,33,A,0.934461
USGS,11242000,1/1/11,33,A,0.934461
USGS,11242000,1/2/11,33,A,0.934461
USGS,11242000,1/3/11,34,A,0.962778
USGS,11242000,1/4/11,34,A,0.962778
USGS,11242000,1/5/11,34,A,0.962778
USGS,11242000,1/6/11,34,A,0.962778
USGS,11242000,1/7/11,34,A,0.962778
USGS,11242000,1/8/11,34,A,0.962778
USGS,11242000,1/9/11,34,A,0.962778
USGS,11242000,1/10/11,34,A,0.962778
USGS,11242000,1/11/11,34,A,0.962778
USGS,11242000,1/12/11,34,A,0.962778
USGS,11242000,1/13/11,34,A,0.962778
USGS,11242000,1/14/11,34,A,0.962778
USGS,11242000,1/15/11,34,A,0.962778
USGS,11242000,1/16/11,34,A,0.962778
USGS,11242000,1/17/11,34,A,0.962778
USGS,11242000,1/18/11,34,A,0.962778
USGS,11242000,1/19/11,36,A,1.019412
USGS,11242000,1/20/11,34,A,0.962778
USGS,11242000,1/21/11,34,A,0.962778
USGS,11242000,1/22/11,33,A,0.934461
USGS,11242000,1/23/11,33,A,0.934461
USGS,11242000,1/24/11,33,A,0.934461
USGS,11242000,1/25/11,33,A,0.934461
USGS,11242000,1/26/11,33,A,0.934461
USGS,11242000,1/27/11,33,A,0.934461
USGS,11242000,1/28/11,33,A,0.934461
USGS,11242000,1/29/11,34,A,0.962778
USGS,11242000,1/30/11,34,A,0.962778
USGS,11242000,1/31/11,34,A,0.962778
USGS,11242000,2/1/11,34,A,0.962778
USGS,11242000,2/2/11,34,A,0.962778
USGS,11242000,2/3/11,34,A,0.962778
USGS,11242000,2/4/11,34,A,0.962778
USGS,11242000,2/5/11,34,A,0.962778
USGS,11242000,2/6/11,34,A,0.962778
USGS,11242000,2/7/11,34,A,0.962778
USGS,11242000,2/8/11,34,A,0.962778
USGS,11242000,2/9/11,34,A,0.962778
USGS,11242000,2/10/11,34,A,0.962778
USGS,11242000,2/11/11,34,A,0.962778
USGS,11242000,2/12/11,34,A,0.962778
USGS,11242000,2/13/11,34,A,0.962778
USGS,11242000,2/14/11,34,A,0.962778
USGS,11242000,2/15/11,33,A,0.934461
USGS,11242000,2/16/11,34,A,0.962778
USGS,11242000,2/17/11,34,A,0.962778
USGS,11242000,2/18/11,34,A,0.962778
USGS,11242000,2/19/11,34,A,0.962778
USGS,11242000,2/20/11,34,A,0.962778
USGS,11242000,2/21/11,34,A,0.962778
USGS,11242000,2/22/11,34,A,0.962778
USGS,11242000,2/23/11,34,A,0.962778
USGS,11242000,2/24/11,34,A,0.962778
USGS,11242000,2/25/11,34,A,0.962778
USGS,11242000,2/26/11,34,A,0.962778
USGS,11242000,2/27/11,34,A,0.962778
USGS,11242000,2/28/11,34,A,0.962778
USGS,11242000,3/1/11,34,A,0.962778
USGS,11242000,3/2/11,34,A,0.962778
USGS,11242000,3/3/11,34,A,0.962778
USGS,11242000,3/4/11,34,A,0.962778
USGS,11242000,3/5/11,34,A,0.962778
USGS,11242000,3/6/11,34,A,0.962778
USGS,11242000,3/7/11,34,A,0.962778
USGS,11242000,3/8/11,34,A,0.962778
USGS,11242000,3/9/11,34,A,0.962778
USGS,11242000,3/10/11,34,A,0.962778
USGS,11242000,3/11/11,34,A,0.962778
USGS,11242000,3/12/11,34,A,0.962778
USGS,11242000,3/13/11,34,A,0.962778
USGS,11242000,3/14/11,34,A,0.962778
USGS,11242000,3/15/11,34,A,0.962778
USGS,11242000,3/16/11,34,A,0.962778
USGS,11242000,3/17/11,33,A,0.934461
USGS,11242000,3/18/11,35,A,0.991095
USGS,11242000,3/19/11,35,A,0.991095
USGS,11242000,3/20/11,1490,A,42.19233
USGS,11242000,3/21/11,1240,A,35.11308
USGS,11242000,3/22/11,481,A,13.620477
USGS,11242000,3/23/11,1780,A,50.40426
USGS,11242000,3/24/11,1360,A,38.51112
USGS,11242000,3/25/11,517,A,14.639889
USGS,11242000,3/26/11,598,A,16.933566
USGS,11242000,3/27/11,293,A,8.296881
USGS,11242000,3/28/11,572,A,16.197324
USGS,11242000,3/29/11,1210,A,34.26357
USGS,11242000,3/30/11,908,A,25.711836
USGS,11242000,3/31/11,783,A,22.172211
USGS,11242000,4/1/11,954,A,27.014418
USGS,11242000,4/2/11,1230,A,34.82991
USGS,11242000,4/3/11,937,A,26.533029
USGS,11242000,4/4/11,1210,A,34.26357
USGS,11242000,4/5/11,1310,A,37.09527
USGS,11242000,4/6/11,263,A,7.447371
USGS,11242000,4/7/11,389,A,11.015313
USGS,11242000,4/8/11,493,A,13.960281
USGS,11242000,4/9/11,1040,A,29.44968
USGS,11242000,4/10/11,1170,A,33.13089
USGS,11242000,4/11/11,1190,A,33.69723
USGS,11242000,4/12/11,1210,A,34.26357
