DATE / TIME (PST),OUTFLOW CFS
09/17/2002,0
09/18/2002,0
09/19/2002,0
09/20/2002,0
09/21/2002,0
09/22/2002,0
09/23/2002,0
09/24/2002,--
09/25/2002,--
09/26/2002,0
09/27/2002,0
09/28/2002,0
09/29/2002,0
09/30/2002,0
10/01/2002,0
10/02/2002,0
10/03/2002,0
10/04/2002,0
10/05/2002,0
10/06/2002,0
10/07/2002,0
10/08/2002,0
10/09/2002,0
10/10/2002,0
10/11/2002,0
10/12/2002,0
10/13/2002,0
10/14/2002,0
10/15/2002,0
10/16/2002,0
10/17/2002,0
10/18/2002,0
10/19/2002,0
10/20/2002,0
10/21/2002,0
10/22/2002,0
10/23/2002,--
10/24/2002,--
10/25/2002,0
10/26/2002,--
10/27/2002,0
10/28/2002,0
10/29/2002,0
10/30/2002,0
10/31/2002,0
11/01/2002,0
11/02/2002,0
11/03/2002,0
11/04/2002,0
11/05/2002,0
11/06/2002,0
11/07/2002,0
11/08/2002,0
11/09/2002,--
11/10/2002,--
11/11/2002,--
11/12/2002,--
11/13/2002,--
11/14/2002,--
11/15/2002,--
11/16/2002,--
11/17/2002,--
11/18/2002,--
11/19/2002,0
11/20/2002,0
11/21/2002,0
11/22/2002,0
11/23/2002,0
11/24/2002,0
11/25/2002,0
11/26/2002,0
11/27/2002,0
11/28/2002,0
11/29/2002,0
11/30/2002,0
12/01/2002,--
12/02/2002,0
12/03/2002,0
12/04/2002,0
12/05/2002,0
12/06/2002,--
12/07/2002,0
12/08/2002,0
12/09/2002,0
12/10/2002,0
12/11/2002,0
12/12/2002,--
12/13/2002,0
12/14/2002,0
12/15/2002,0
12/16/2002,0
12/17/2002,0
12/18/2002,0
12/19/2002,0
12/20/2002,0
12/21/2002,0
12/22/2002,0
12/23/2002,0
12/24/2002,0
12/25/2002,0
12/26/2002,0
12/27/2002,--
12/28/2002,0
12/29/2002,0
12/30/2002,0
12/31/2002,0
01/01/2003,0
01/02/2003,--
01/03/2003,0
01/04/2003,1
01/05/2003,1
01/06/2003,1
01/07/2003,1
01/08/2003,1
01/09/2003,0
01/10/2003,0
01/11/2003,--
01/12/2003,--
01/13/2003,--
01/14/2003,--
01/15/2003,--
01/16/2003,0
01/17/2003,0
01/18/2003,0
01/19/2003,0
01/20/2003,0
01/21/2003,0
01/22/2003,0
01/23/2003,0
01/24/2003,0
01/25/2003,0
01/26/2003,0
01/27/2003,0
01/28/2003,0
01/29/2003,0
01/30/2003,0
01/31/2003,0
02/01/2003,0
02/02/2003,0
02/03/2003,0
02/04/2003,0
02/05/2003,0
02/06/2003,0
02/07/2003,0
02/08/2003,0
02/09/2003,0
02/10/2003,0
02/11/2003,0
02/12/2003,0
02/13/2003,0
02/14/2003,0
02/15/2003,0
02/16/2003,0
02/17/2003,0
02/18/2003,0
02/19/2003,0
02/20/2003,0
02/21/2003,0
