Agency,SiteID,Date,peak_tm,peak_va,peak_cd,gage_ht,gage_ht_cd,year_last_pk,ag_dt,ag_tm,ag_gage_ht,ag_gage_ht_cd
USGS,11242000,11/18/50,,40000,"2,6",,,,,,,
USGS,11242000,12/29/51,,15100,6,22.67,,,,,,
USGS,11242000,4/27/53,,6550,6,16.25,,,,,,
USGS,11242000,5/9/54,,5080,6,14.75,,,,,,
USGS,11242000,6/8/55,,5510,6,15.12,,,,,,
USGS,11242000,12/23/55,,73200,6,54.2,,,,,,
USGS,11242000,5/19/57,,15300,6,24.45,,,,,,
USGS,11242000,6/18/58,,11800,6,21.52,,,,,,
USGS,11242000,2/17/59,,2070,6,10.34,,,,,,
USGS,11242000,1/6/60,,508,6,7.36,,,,,,
USGS,11242000,7/21/61,,34,6,4.21,,,,,,
USGS,11242000,5/6/62,,5240,6,14.46,,,,,,
USGS,11242000,2/1/63,,14500,6,23.15,,,,,,
USGS,11242000,8/18/64,,36,6,4.25,,,,,,
USGS,11242000,6/7/65,,4600,6,13.55,,,,,,
USGS,11242000,10/27/65,,27,6,3.97,,,,,,
USGS,11242000,12/6/66,,15000,6,23.56,,,,,,
USGS,11242000,7/20/68,,70,6,4.7,,,,,,
USGS,11242000,6/3/69,,18300,6,25.98,,,,,,
USGS,11242000,6/26/70,,2130,6,10.45,,,,,,
USGS,11242000,8/18/71,,76,6,4.78,,,,,,
USGS,11242000,6/7/72,,44,6,4.33,,,,,,
USGS,11242000,5/18/73,,9450,6,18.65,,,,,,
USGS,11242000,5/2/74,,10000,6,19.64,,,,,,
USGS,11242000,6/2/75,,9760,6,19.4,,,,,,
USGS,11242000,7/15/76,,94,6,5.1,,,,,,
USGS,11242000,9/2/77,,105,6,5.21,,,,,,
USGS,11242000,6/10/78,,12700,6,21.9,,,,,,
USGS,11242000,5/22/79,,6970,6,16.59,,,,,,
USGS,11242000,1/14/80,,11900,6,21.25,,,,,,
USGS,11242000,3/20/81,,54,6,4.56,,,,,,
USGS,11242000,4/11/82,,19000,6,26.62,,,,,,
USGS,11242000,6/12/83,,17000,6,25.2,,,,,,
USGS,11242000,12/25/83,,5340,6,14.74,,,,,,
USGS,11242000,9/23/85,,53,6,4.67,,,,,,
USGS,11242000,6/2/86,,11300,"1,6",,,,,,,
USGS,11242000,9/9/87,,27,"1,6",,,,,,,
USGS,11242000,7/20/88,,40,6,4.27,,,,,,
USGS,11242000,1/13/89,,65,6,4.64,,,,,,
USGS,11242000,8/13/90,,128,6,5.35,,,,,,
USGS,11242000,7/9/91,,58,6,4.54,,,,,,
USGS,11242000,1/24/92,,236,6,6.16,,,,,,
USGS,11242000,1/14/93,,15900,6,24.48,,,,,,
USGS,11242000,8/24/94,,57,6,4.53,,,,,,
USGS,11242000,3/10/95,,25500,6,30.65,,,,,,
USGS,11242000,5/16/96,,33600,6,35.5,,,,,,
USGS,11242000,1/2/97,,99200,6,65.17,,,,,,
USGS,11242000,7/2/98,,27000,6,32.08,,,,,,
USGS,11242000,1/6/99,,5440,6,14.6,,,,,,
USGS,11242000,3/6/00,,15100,6,23.01,,,,,,
USGS,11242000,6/27/01,,3040,6,11.55,,,,,,
USGS,11242000,1/30/02,,619,6,7.67,,,,,,
USGS,11242000,6/4/03,,7430,6,16.31,,,,,,
USGS,11242000,10/4/03,,53,6,4.58,,,,,,
USGS,11242000,5/16/05,,23100,6,28.92,,,,,,
USGS,11242000,4/3/06,,14100,6,23.46,,,,,,
USGS,11242000,2/23/07,,1810,6,10.31,,,,,,
USGS,11242000,5/19/08,,4460,6,13.82,,,,,,
USGS,11242000,5/2/09,,4910,6,14.35,,,,,,
USGS,11242000,6/9/10,,12200,6,21.82,,,,,,
USGS,11242000,6/24/11,,13200,6,22.67,,,,,,
USGS,11242000,4/26/12,,3100,6,12.13,,,,,,
USGS,11242000,9/8/13,,1770,6,10.25,,,,,,
USGS,11242000,4/16/14,,1040,6,8.85,,,,,,
USGS,11242000,2/12/15,,61,6,4.87,,,,,,
USGS,11242000,6/3/16,,4210,6,13.51,,,,,,
USGS,11242000,2/7/17,,20700,6,28.39,,,,,,
USGS,11242000,4/8/18,,17100,6,25.85,,,,,,
USGS,11242000,6/3/19,10:00,14300,6,23.6,,,,,,
